reporter_iso,ref_year,total_bn,as_reported_bn,estimated_pct
BGD,2015,31.734,31.734,0.0
BGD,2016,34.753,3.240,90.7
BGD,2017,39.674,4.198,89.4
BGD,2018,40.066,4.339,89.2
CHN,2014,2342.293,2342.293,0.0
CHN,2015,2273.468,2273.468,0.0
CHN,2016,2097.637,4.557,99.8
CHN,2017,2263.371,2263.371,0.0
CHN,2018,2486.440,190.899,92.3
CHN,2019,2499.207,113.899,95.4
CHN,2020,2589.098,57.634,97.8
CHN,2021,3316.022,39.276,98.8
CHN,2022,3593.601,51.086,98.6
CHN,2023,3379.748,71.893,97.9
IND,2014,317.545,317.545,0.0
IND,2015,264.381,264.381,0.0
IND,2016,260.327,260.327,0.0
IND,2017,294.364,294.364,0.0
IND,2018,322.492,322.492,0.0
IND,2019,323.251,0.212,99.9
IND,2020,275.489,3.206,98.8
IND,2021,394.814,0.089,100.0
IND,2022,452.684,61.990,86.3
IND,2023,431.412,91.661,78.8
VNM,2014,150.217,150.217,0.0
VNM,2015,162.017,162.017,0.0
VNM,2016,176.581,176.581,0.0
VNM,2017,215.119,215.119,0.0
VNM,2018,243.699,3.885,98.4
VNM,2019,264.610,4.472,98.3
VNM,2020,281.441,2.889,99.0
VNM,2021,335.793,49.654,85.2
VNM,2022,370.909,301.035,18.8
VNM,2023,353.078,314.275,11.0
