reporter_desc,ref_year,base_year,total_bn,index_base_100
Bangladesh,2015,2015,31.734,100.0
Bangladesh,2016,2015,34.753,109.5
Bangladesh,2017,2015,39.674,125.0
Bangladesh,2018,2015,40.066,126.3
China,2014,2014,2342.293,100.0
China,2015,2014,2273.468,97.1
China,2016,2014,2097.637,89.6
China,2017,2014,2263.371,96.6
China,2018,2014,2486.440,106.2
China,2019,2014,2499.207,106.7
China,2020,2014,2589.098,110.5
China,2021,2014,3316.022,141.6
China,2022,2014,3593.601,153.4
China,2023,2014,3379.748,144.3
India,2014,2014,317.545,100.0
India,2015,2014,264.381,83.3
India,2016,2014,260.327,82.0
India,2017,2014,294.364,92.7
India,2018,2014,322.492,101.6
India,2019,2014,323.251,101.8
India,2020,2014,275.489,86.8
India,2021,2014,394.814,124.3
India,2022,2014,452.684,142.6
India,2023,2014,431.412,135.9
Viet Nam,2014,2014,150.217,100.0
Viet Nam,2015,2014,162.017,107.9
Viet Nam,2016,2014,176.581,117.6
Viet Nam,2017,2014,215.119,143.2
Viet Nam,2018,2014,243.699,162.2
Viet Nam,2019,2014,264.610,176.2
Viet Nam,2020,2014,281.441,187.4
Viet Nam,2021,2014,335.793,223.5
Viet Nam,2022,2014,370.909,246.9
Viet Nam,2023,2014,353.078,235.0
