direction,rank_on_side,cmd_code,cmd_desc,value_2022_bn,value_2023_bn,change_bn
fall,1,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",98.47,89.33,-9.14
fall,2,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",39.27,33.43,-5.84
fall,3,72,Iron and steel,15.20,11.81,-3.39
fall,4,10,Cereals,14.09,11.28,-2.81
fall,5,29,Organic chemicals,21.88,19.48,-2.40
fall,6,76,Aluminium and articles thereof,9.60,7.33,-2.26
fall,7,17,Sugars and sugar confectionery,6.33,4.27,-2.05
fall,8,61,Apparel and clothing accessories; knitted or crocheted,8.20,6.66,-1.54
fall,9,38,Chemical products n.e.c.,8.07,6.64,-1.43
fall,10,39,Plastics and articles thereof,8.24,7.12,-1.12
rise,1,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",26.57,32.32,5.75
rise,2,26,"Ores, slag and ash",1.94,3.98,2.04
rise,3,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",27.50,29.31,1.80
rise,4,30,Pharmaceutical products,19.75,21.30,1.55
rise,5,23,"Food industries, residues and wastes thereof; prepared animal fodder",2.02,3.01,0.99
rise,6,89,"Ships, boats and floating structures",3.35,4.33,0.98
rise,7,74,Copper and articles thereof,1.62,2.27,0.64
rise,8,69,Ceramic products,2.44,3.05,0.61
rise,9,88,"Aircraft, spacecraft, and parts thereof",1.38,1.94,0.56
rise,10,33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",2.36,2.87,0.52
