reporter_desc,ref_year,total_bn,pct_value_on_netwgt_est_rows,pct_rows_is_aggregate,pct_rows_is_reported,rows_flag4,rows_netwgt_est
Bangladesh,2015,31.734,0.0,0.0,100.0,0,0
Bangladesh,2016,34.753,90.7,100.0,0.0,25,25
Bangladesh,2017,39.674,89.4,100.0,0.0,29,29
Bangladesh,2018,40.066,89.2,100.0,0.0,31,31
China,2014,2342.293,0.0,0.0,100.0,0,0
China,2015,2273.468,99.0,100.0,0.0,0,82
China,2016,2097.637,99.8,100.0,0.0,96,96
China,2017,2263.371,99.5,100.0,0.0,0,89
China,2018,2486.440,92.3,100.0,0.0,79,79
China,2019,2499.207,95.4,100.0,0.0,89,89
China,2020,2589.098,97.8,100.0,0.0,92,92
China,2021,3316.022,98.8,100.0,0.0,91,91
China,2022,3593.601,98.6,100.0,0.0,92,92
China,2023,3379.748,97.9,100.0,0.0,93,93
India,2014,317.545,0.0,0.0,100.0,0,0
India,2015,264.381,0.0,0.0,100.0,0,0
India,2016,260.327,0.0,0.0,100.0,0,0
India,2017,294.364,99.9,100.0,0.0,0,96
India,2018,322.492,99.9,100.0,0.0,0,96
India,2019,323.251,99.9,100.0,0.0,96,96
India,2020,275.489,98.8,100.0,0.0,95,95
India,2021,394.814,100.0,100.0,0.0,96,96
India,2022,452.684,86.3,100.0,0.0,75,75
India,2023,431.412,78.8,100.0,0.0,74,74
Viet Nam,2014,150.217,0.0,0.0,100.0,0,0
Viet Nam,2015,162.017,0.0,0.0,100.0,0,0
Viet Nam,2016,176.581,99.7,100.0,0.0,0,94
Viet Nam,2017,215.119,99.9,100.0,0.0,0,95
Viet Nam,2018,243.699,98.4,100.0,0.0,96,96
Viet Nam,2019,264.610,98.3,100.0,0.0,95,95
Viet Nam,2020,281.441,99.0,100.0,0.0,96,96
Viet Nam,2021,335.793,85.2,100.0,0.0,54,54
Viet Nam,2022,370.909,18.8,100.0,0.0,32,32
Viet Nam,2023,353.078,11.0,100.0,0.0,27,27
