reporter_desc,rank_2023,cmd_code,cmd_desc,value_2023_bn,value_2014_2023_bn,rank_basis
Bangladesh,1,62,Apparel and clothing accessories; not knitted or crocheted,,61.370,full-period value (no 2023 data)
Bangladesh,2,61,Apparel and clothing accessories; knitted or crocheted,,58.706,full-period value (no 2023 data)
Bangladesh,3,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",,3.735,full-period value (no 2023 data)
Bangladesh,4,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,,3.279,full-period value (no 2023 data)
Bangladesh,5,64,Footwear; gaiters and the like; parts of such articles,,3.162,full-period value (no 2023 data)
Bangladesh,6,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",,2.101,full-period value (no 2023 data)
Bangladesh,7,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",,1.466,full-period value (no 2023 data)
Bangladesh,8,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",,1.166,full-period value (no 2023 data)
Bangladesh,9,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",,1.082,full-period value (no 2023 data)
Bangladesh,10,41,Raw hides and skins (other than furskins) and leather,,0.961,full-period value (no 2023 data)
China,1,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",896.419,7102.606,2023 value
China,2,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",510.621,4384.996,2023 value
China,3,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",192.497,941.876,2023 value
China,4,39,Plastics and articles thereof,131.451,928.213,2023 value
China,5,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",121.468,1059.175,2023 value
China,6,73,Iron or steel articles,97.180,735.394,2023 value
China,7,95,"Toys, games and sports requisites; parts and accessories thereof",88.499,658.853,2023 value
China,8,61,Apparel and clothing accessories; knitted or crocheted,82.311,787.416,2023 value
China,9,29,Organic chemicals,77.911,615.822,2023 value
China,10,62,Apparel and clothing accessories; not knitted or crocheted,70.177,721.068,2023 value
India,1,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",89.331,522.296,2023 value
India,2,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",33.432,373.933,2023 value
India,3,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",32.318,151.928,2023 value
India,4,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",29.306,197.654,2023 value
India,5,30,Pharmaceutical products,21.301,159.641,2023 value
India,6,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",20.817,169.378,2023 value
India,7,29,Organic chemicals,19.475,164.132,2023 value
India,8,72,Iron and steel,11.813,112.100,2023 value
India,9,10,Cereals,11.282,90.974,2023 value
India,10,73,Iron or steel articles,9.743,75.095,2023 value
Viet Nam,1,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",132.718,915.706,2023 value
Viet Nam,2,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",32.233,168.959,2023 value
Viet Nam,3,64,Footwear; gaiters and the like; parts of such articles,20.769,168.438,2023 value
Viet Nam,4,62,Apparel and clothing accessories; not knitted or crocheted,15.315,134.240,2023 value
Viet Nam,5,61,Apparel and clothing accessories; knitted or crocheted,14.763,132.406,2023 value
Viet Nam,6,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.c.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",12.077,91.690,2023 value
Viet Nam,7,72,Iron and steel,8.512,53.195,2023 value
Viet Nam,8,39,Plastics and articles thereof,7.429,48.318,2023 value
Viet Nam,9,08,"Fruit and nuts, edible; peel of citrus fruit or melons",7.018,50.559,2023 value
Viet Nam,10,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",6.463,61.058,2023 value
