sector,ref_year,track_b_bn,track_a_bn,pct_diff
engineering_machinery,2014,22.598,22.598,0.00
engineering_machinery,2015,21.167,21.167,0.00
engineering_machinery,2016,21.775,21.775,0.00
engineering_machinery,2017,25.425,25.427,-0.01
engineering_machinery,2018,32.271,32.271,0.00
engineering_machinery,2019,36.204,36.204,0.00
engineering_machinery,2020,31.436,31.436,0.00
engineering_machinery,2021,43.002,43.002,0.00
engineering_machinery,2022,52.745,54.076,-2.46
engineering_machinery,2023,61.625,61.625,0.00
gems_jewellery,2014,40.704,40.704,0.00
gems_jewellery,2015,38.488,38.488,0.00
gems_jewellery,2016,42.291,42.291,0.00
gems_jewellery,2017,41.165,41.165,0.00
gems_jewellery,2018,39.234,39.234,0.00
gems_jewellery,2019,36.734,36.734,0.00
gems_jewellery,2020,24.456,24.456,0.00
gems_jewellery,2021,38.155,38.155,0.00
gems_jewellery,2022,38.861,39.275,-1.05
gems_jewellery,2023,33.432,33.432,0.00
petroleum_products,2014,62.349,62.349,0.00
petroleum_products,2015,31.394,31.394,0.00
petroleum_products,2016,27.715,27.715,0.00
petroleum_products,2017,35.874,35.874,0.00
petroleum_products,2018,48.594,48.594,0.00
petroleum_products,2019,44.533,44.533,0.00
petroleum_products,2020,27.634,27.634,0.00
petroleum_products,2021,56.401,56.401,0.00
petroleum_products,2022,98.472,98.472,0.00
petroleum_products,2023,89.331,89.331,0.00
pharmaceuticals,2014,11.663,11.663,0.00
pharmaceuticals,2015,12.545,12.545,0.00
pharmaceuticals,2016,13.043,13.043,0.00
pharmaceuticals,2017,12.865,12.885,-0.15
pharmaceuticals,2018,14.300,14.300,0.00
pharmaceuticals,2019,16.264,16.264,0.00
pharmaceuticals,2020,18.427,18.427,0.00
pharmaceuticals,2021,19.461,19.461,0.00
pharmaceuticals,2022,19.750,19.753,-0.01
pharmaceuticals,2023,21.301,21.301,0.00
textiles,2014,38.598,38.598,0.00
textiles,2015,37.162,37.162,0.00
textiles,2016,35.429,35.429,0.00
textiles,2017,37.221,37.221,0.00
textiles,2018,37.034,37.034,0.00
textiles,2019,35.485,35.485,0.00
textiles,2020,29.606,29.606,0.00
textiles,2021,41.468,41.468,0.00
textiles,2022,38.273,38.307,-0.09
textiles,2023,34.227,34.227,0.00
