sector,ref_year,sector_value_usd_bn
engineering_machinery,2014,22.598
engineering_machinery,2015,21.167
engineering_machinery,2016,21.775
engineering_machinery,2017,25.425
engineering_machinery,2018,32.271
engineering_machinery,2019,36.204
engineering_machinery,2020,31.436
engineering_machinery,2021,43.002
engineering_machinery,2022,52.745
engineering_machinery,2023,61.625
gems_jewellery,2014,40.704
gems_jewellery,2015,38.488
gems_jewellery,2016,42.291
gems_jewellery,2017,41.165
gems_jewellery,2018,39.234
gems_jewellery,2019,36.734
gems_jewellery,2020,24.456
gems_jewellery,2021,38.155
gems_jewellery,2022,38.861
gems_jewellery,2023,33.432
petroleum_products,2014,62.349
petroleum_products,2015,31.394
petroleum_products,2016,27.715
petroleum_products,2017,35.874
petroleum_products,2018,48.594
petroleum_products,2019,44.533
petroleum_products,2020,27.634
petroleum_products,2021,56.401
petroleum_products,2022,98.472
petroleum_products,2023,89.331
pharmaceuticals,2014,11.663
pharmaceuticals,2015,12.545
pharmaceuticals,2016,13.043
pharmaceuticals,2017,12.865
pharmaceuticals,2018,14.300
pharmaceuticals,2019,16.264
pharmaceuticals,2020,18.427
pharmaceuticals,2021,19.461
pharmaceuticals,2022,19.750
pharmaceuticals,2023,21.301
textiles,2014,38.598
textiles,2015,37.162
textiles,2016,35.429
textiles,2017,37.221
textiles,2018,37.034
textiles,2019,35.485
textiles,2020,29.606
textiles,2021,41.468
textiles,2022,38.273
textiles,2023,34.227
