partner_desc,rank_2014,rank_2023,rank_improvement,value_2014_bn,value_2023_bn
USA,1,1,0,42.685,75.805
United Arab Emirates,2,2,0,32.920,33.021
Netherlands,8,3,5,6.762,23.108
China,3,4,-1,13.434,16.245
United Kingdom,6,5,1,9.665,12.480
Singapore,5,6,-1,9.677,12.036
Bangladesh,11,7,4,6.255,11.253
Saudi Arabia,4,8,-4,13.064,10.832
Germany,7,9,-2,7.745,9.667
Italy,15,10,5,5.446,8.399
South Africa,14,11,3,5.722,8.020
Belgium,12,12,0,5.895,7.972
Indonesia,18,13,5,4.445,7.398
Nepal,19,14,5,4.193,7.248
France,16,15,1,5.093,7.188
Malaysia,17,16,1,4.642,6.678
Viet Nam,9,17,-8,6.527,5.652
Japan,13,18,-5,5.757,5.084
Sri Lanka,10,19,-9,6.435,3.578
Maldives,20,20,0,0.140,0.587
