partner_desc,rank_2023,value_2023_bn,pct_of_panel_2023,value_2014_2023_bn
USA,1,75.805,27.8,553.823
United Arab Emirates,2,33.021,12.1,287.411
Netherlands,3,23.108,8.5,97.660
China,4,16.245,6.0,151.452
United Kingdom,5,12.480,4.6,96.478
Singapore,6,12.036,4.4,100.398
Bangladesh,7,11.253,4.1,88.735
Saudi Arabia,8,10.832,4.0,77.146
Germany,9,9.667,3.6,84.983
Italy,10,8.399,3.1,59.463
South Africa,11,8.020,2.9,50.628
Belgium,12,7.972,2.9,66.758
Indonesia,13,7.398,2.7,53.233
Nepal,14,7.248,2.7,62.667
France,15,7.188,2.6,56.262
Malaysia,16,6.678,2.5,58.858
Viet Nam,17,5.652,2.1,60.842
Japan,18,5.084,1.9,49.073
Sri Lanka,19,3.578,1.3,47.299
Maldives,20,0.587,0.2,3.020
