sector,ref_year,top3_partner_share_pct,hhi_panel,partners_with_trade
engineering_machinery,2014,42.5,998,20
engineering_machinery,2015,42.7,993,20
engineering_machinery,2016,41.3,952,20
engineering_machinery,2017,42.6,1019,20
engineering_machinery,2018,45.6,1083,20
engineering_machinery,2019,50.2,1242,20
engineering_machinery,2020,52.7,1427,20
engineering_machinery,2021,49.8,1308,20
engineering_machinery,2022,51.5,1433,20
engineering_machinery,2023,56.2,1745,20
gems_jewellery,2014,91.7,3472,20
gems_jewellery,2015,92.9,3723,20
gems_jewellery,2016,93.3,3727,20
gems_jewellery,2017,91.9,3463,20
gems_jewellery,2018,89.5,3294,20
gems_jewellery,2019,90.1,3353,20
gems_jewellery,2020,88.0,3717,20
gems_jewellery,2021,87.5,3861,20
gems_jewellery,2022,85.4,3398,20
gems_jewellery,2023,87.9,3240,20
petroleum_products,2014,50.6,1175,20
petroleum_products,2015,50.3,1185,20
petroleum_products,2016,57.6,1373,20
petroleum_products,2017,58.3,1505,20
petroleum_products,2018,53.0,1256,20
petroleum_products,2019,53.6,1234,20
petroleum_products,2020,51.0,1194,20
petroleum_products,2021,40.1,882,20
petroleum_products,2022,44.7,985,20
petroleum_products,2023,55.1,1406,20
pharmaceuticals,2014,77.9,4134,20
pharmaceuticals,2015,81.2,4707,20
pharmaceuticals,2016,81.1,4912,20
pharmaceuticals,2017,78.1,4369,20
pharmaceuticals,2018,76.8,4123,20
pharmaceuticals,2019,78.1,4680,20
pharmaceuticals,2020,77.3,4411,20
pharmaceuticals,2021,74.0,3971,20
pharmaceuticals,2022,71.2,3827,20
pharmaceuticals,2023,72.5,3991,20
textiles,2014,51.6,1287,20
textiles,2015,55.4,1442,20
textiles,2016,56.7,1501,20
textiles,2017,55.1,1468,20
textiles,2018,52.2,1482,20
textiles,2019,54.6,1647,20
textiles,2020,56.6,1725,20
textiles,2021,60.1,1790,20
textiles,2022,61.1,2006,20
textiles,2023,57.9,1857,20
