sector,partner_desc,rank_in_sector,value_2023_bn,pct_of_sector_panel
engineering_machinery,USA,1,15.881,37.4
engineering_machinery,United Arab Emirates,2,4.913,11.6
engineering_machinery,United Kingdom,3,3.086,7.3
engineering_machinery,Germany,4,2.704,6.4
engineering_machinery,Netherlands,5,2.161,5.1
engineering_machinery,Singapore,6,1.806,4.3
engineering_machinery,France,7,1.687,4.0
engineering_machinery,Italy,8,1.679,4.0
engineering_machinery,China,9,1.620,3.8
engineering_machinery,Saudi Arabia,10,1.380,3.2
engineering_machinery,Japan,11,0.782,1.8
engineering_machinery,Bangladesh,12,0.781,1.8
engineering_machinery,South Africa,13,0.740,1.7
engineering_machinery,Nepal,14,0.702,1.7
engineering_machinery,Indonesia,15,0.658,1.5
engineering_machinery,Malaysia,16,0.638,1.5
engineering_machinery,Viet Nam,17,0.521,1.2
engineering_machinery,Belgium,18,0.435,1.0
engineering_machinery,Sri Lanka,19,0.233,0.5
engineering_machinery,Maldives,20,0.078,0.2
gems_jewellery,USA,1,10.167,44.8
gems_jewellery,United Arab Emirates,2,7.578,33.4
gems_jewellery,Belgium,3,2.203,9.7
gems_jewellery,Singapore,4,0.714,3.1
gems_jewellery,United Kingdom,5,0.618,2.7
gems_jewellery,France,6,0.310,1.4
gems_jewellery,Japan,7,0.273,1.2
gems_jewellery,Italy,8,0.230,1.0
gems_jewellery,Malaysia,9,0.143,0.6
gems_jewellery,Germany,10,0.133,0.6
gems_jewellery,Saudi Arabia,11,0.090,0.4
gems_jewellery,Netherlands,12,0.046,0.2
gems_jewellery,China,13,0.046,0.2
gems_jewellery,Sri Lanka,14,0.045,0.2
gems_jewellery,South Africa,15,0.036,0.2
gems_jewellery,Nepal,16,0.026,0.1
gems_jewellery,Indonesia,17,0.020,0.1
gems_jewellery,Viet Nam,18,0.008,0.0
gems_jewellery,Bangladesh,19,0.003,0.0
gems_jewellery,Maldives,20,0.000,0.0
petroleum_products,Netherlands,1,14.992,28.5
petroleum_products,United Arab Emirates,2,7.456,14.2
petroleum_products,USA,3,6.524,12.4
petroleum_products,Singapore,4,5.540,10.5
petroleum_products,South Africa,5,3.523,6.7
petroleum_products,Nepal,6,2.319,4.4
petroleum_products,Bangladesh,7,2.189,4.2
petroleum_products,Indonesia,8,1.912,3.6
petroleum_products,Malaysia,9,1.421,2.7
petroleum_products,United Kingdom,10,1.281,2.4
petroleum_products,China,11,1.180,2.2
petroleum_products,Belgium,12,1.027,2.0
petroleum_products,France,13,1.001,1.9
petroleum_products,Saudi Arabia,14,0.921,1.8
petroleum_products,Italy,15,0.588,1.1
petroleum_products,Sri Lanka,16,0.362,0.7
petroleum_products,Maldives,17,0.149,0.3
petroleum_products,Japan,18,0.143,0.3
petroleum_products,Viet Nam,19,0.022,0.0
petroleum_products,Germany,20,0.004,0.0
pharmaceuticals,USA,1,7.551,62.2
pharmaceuticals,United Kingdom,2,0.636,5.2
pharmaceuticals,South Africa,3,0.625,5.1
pharmaceuticals,Netherlands,4,0.532,4.4
pharmaceuticals,France,5,0.505,4.2
pharmaceuticals,Belgium,6,0.423,3.5
pharmaceuticals,Germany,7,0.356,2.9
pharmaceuticals,Sri Lanka,8,0.264,2.2
pharmaceuticals,Nepal,9,0.222,1.8
pharmaceuticals,United Arab Emirates,10,0.212,1.7
pharmaceuticals,Viet Nam,11,0.142,1.2
pharmaceuticals,Japan,12,0.107,0.9
pharmaceuticals,Saudi Arabia,13,0.097,0.8
pharmaceuticals,Malaysia,14,0.096,0.8
pharmaceuticals,Indonesia,15,0.085,0.7
pharmaceuticals,China,16,0.074,0.6
pharmaceuticals,Singapore,17,0.071,0.6
pharmaceuticals,Italy,18,0.069,0.6
pharmaceuticals,Bangladesh,19,0.050,0.4
pharmaceuticals,Maldives,20,0.030,0.2
textiles,USA,1,9.296,38.7
textiles,Bangladesh,2,2.642,11.0
textiles,United Arab Emirates,3,1.980,8.2
textiles,United Kingdom,4,1.873,7.8
textiles,Germany,5,1.266,5.3
textiles,China,6,1.109,4.6
textiles,France,7,0.913,3.8
textiles,Netherlands,8,0.856,3.6
textiles,Italy,9,0.778,3.2
textiles,Sri Lanka,10,0.677,2.8
textiles,Saudi Arabia,11,0.555,2.3
textiles,Belgium,12,0.410,1.7
textiles,Japan,13,0.350,1.5
textiles,Viet Nam,14,0.339,1.4
textiles,Nepal,15,0.269,1.1
textiles,South Africa,16,0.255,1.1
textiles,Malaysia,17,0.223,0.9
textiles,Indonesia,18,0.149,0.6
textiles,Singapore,19,0.074,0.3
textiles,Maldives,20,0.016,0.1
