sector,partner_rank,partner_desc,product_rank,cmd_code,cmd_desc,value_2023_mn,pct_of_partner_sector
engineering_machinery,1,USA,1,851713,Telephone sets; smartphones for cellular or other wireless networks,4700.8,29.6
engineering_machinery,1,USA,2,854143,"Electrical apparatus; photosensitive semiconductor devices, photovoltaic cells assembled in modules or made up into panels",1757.7,11.1
engineering_machinery,1,USA,3,850440,Electrical static converters,597.8,3.8
engineering_machinery,1,USA,4,848340,"Gears and gearing; (not toothed wheels, chain sprockets and other transmission elements presented separately); ball or roller screws; gear boxes and other speed changers, including torque converters",505.0,3.2
engineering_machinery,1,USA,5,841112,Turbo-jets; of a thrust exceeding 25kN,347.5,2.2
engineering_machinery,2,United Arab Emirates,1,851713,Telephone sets; smartphones for cellular or other wireless networks,2707.2,55.1
engineering_machinery,2,United Arab Emirates,2,854449,"Insulated electric conductors; for a voltage not exceeding 1000 volts, not fitted with connectors",98.8,2.0
engineering_machinery,2,United Arab Emirates,3,848180,"Taps, cocks, valves and similar appliances; for pipes, boiler shells, tanks, vats or the like, including thermostatically controlled valves",90.4,1.8
engineering_machinery,2,United Arab Emirates,4,847130,"Automatic data processing machines; portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display",88.4,1.8
engineering_machinery,2,United Arab Emirates,5,850720,"Electric accumulators; lead-acid, (other than for starting piston engines), including separators, whether or not rectangular (including square)",64.8,1.3
engineering_machinery,3,United Kingdom,1,851713,Telephone sets; smartphones for cellular or other wireless networks,1040.1,33.7
engineering_machinery,3,United Kingdom,2,841112,Turbo-jets; of a thrust exceeding 25kN,343.6,11.1
engineering_machinery,3,United Kingdom,3,843149,"Machinery; parts of machines handling earth, minerals or ores and n.e.c. in heading no. 8431",171.1,5.5
engineering_machinery,3,United Kingdom,4,840999,Engines; parts for internal combustion piston engines (excluding spark-ignition),138.3,4.5
engineering_machinery,3,United Kingdom,5,854449,"Insulated electric conductors; for a voltage not exceeding 1000 volts, not fitted with connectors",84.4,2.7
gems_jewellery,1,USA,1,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",5925.0,58.3
gems_jewellery,1,USA,2,711319,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",2831.5,27.9
gems_jewellery,1,USA,3,710491,"Stones; diamonds, n.e.c. in heading 7104, worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",840.2,8.3
gems_jewellery,1,USA,4,711311,"Jewellery; of silver, whether or not plated or clad with other precious metal, and parts thereof",324.8,3.2
gems_jewellery,1,USA,5,710391,"Stones; rubies, sapphires and emeralds, worked (other than simply sawn or roughly shaped), not strung, mounted or set",66.0,0.6
gems_jewellery,2,United Arab Emirates,1,711319,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",5192.0,68.5
gems_jewellery,2,United Arab Emirates,2,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",1749.0,23.1
gems_jewellery,2,United Arab Emirates,3,710231,"Diamonds; non-industrial, unworked or simply sawn, cleaved or bruted, but not mounted or set",335.9,4.4
gems_jewellery,2,United Arab Emirates,4,710491,"Stones; diamonds, n.e.c. in heading 7104, worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",167.2,2.2
gems_jewellery,2,United Arab Emirates,5,710421,"Stones; diamonds, unworked or simply sawn or roughly shaped",60.5,0.8
gems_jewellery,3,Belgium,1,710239,"Diamonds; non-industrial, (other than unworked or simply sawn, cleaved or bruted), but not mounted or set",1798.7,81.6
gems_jewellery,3,Belgium,2,710231,"Diamonds; non-industrial, unworked or simply sawn, cleaved or bruted, but not mounted or set",293.9,13.3
gems_jewellery,3,Belgium,3,711319,"Jewellery; of precious metal (excluding silver) whether or not plated or clad with precious metal, and parts thereof",65.4,3.0
gems_jewellery,3,Belgium,4,710491,"Stones; diamonds, n.e.c. in heading 7104, worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",29.1,1.3
gems_jewellery,3,Belgium,5,710391,"Stones; rubies, sapphires and emeralds, worked (other than simply sawn or roughly shaped), not strung, mounted or set",5.7,0.3
petroleum_products,1,Netherlands,1,271019,"Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; not light oils and preparations",14958.4,99.8
