reporter_desc,ref_year,exports_bn,imports_bn,balance_bn,balance_pct_of_trade,export_cover_pct
Bangladesh,2015,31.7,48.1,-16.3,-20.5,66.0
Bangladesh,2016,34.8,52.6,-17.9,-20.5,66.0
Bangladesh,2017,39.7,64.9,-25.2,-24.1,61.1
Bangladesh,2018,40.1,80.5,-40.4,-33.5,49.8
China,2014,2342.3,1959.2,383.1,8.9,119.6
China,2015,2273.5,1679.6,593.9,15.0,135.4
China,2016,2097.6,1587.9,509.7,13.8,132.1
China,2017,2263.4,1843.8,419.6,10.2,122.8
China,2018,2486.4,2133.6,352.8,7.6,116.5
China,2019,2499.2,2079.3,419.9,9.2,120.2
China,2020,2589.1,2069.6,519.5,11.2,125.1
China,2021,3316.0,2679.4,636.6,10.6,123.8
China,2022,3593.6,2716.0,877.6,13.9,132.3
China,2023,3379.7,2556.8,823.0,13.9,132.2
India,2014,317.5,459.4,-141.8,-18.3,69.1
India,2015,264.4,390.7,-126.4,-19.3,67.7
India,2016,260.3,356.7,-96.4,-15.6,73.0
India,2017,294.4,444.1,-149.7,-20.3,66.3
India,2018,322.5,507.6,-185.1,-22.3,63.5
India,2019,323.3,478.9,-155.6,-19.4,67.5
India,2020,275.5,368.0,-92.5,-14.4,74.9
India,2021,394.8,570.4,-175.6,-18.2,69.2
India,2022,452.7,732.6,-279.9,-23.6,61.8
India,2023,431.4,672.1,-240.7,-21.8,64.2
Viet Nam,2014,150.2,147.8,2.4,0.8,101.6
Viet Nam,2015,162.0,165.8,-3.8,-1.1,97.7
Viet Nam,2016,176.6,175.0,1.6,0.5,100.9
Viet Nam,2017,215.1,213.2,1.9,0.4,100.9
Viet Nam,2018,243.7,236.9,6.8,1.4,102.9
Viet Nam,2019,264.6,253.4,11.2,2.2,104.4
Viet Nam,2020,281.4,261.3,20.1,3.7,107.7
Viet Nam,2021,335.8,330.8,5.0,0.8,101.5
Viet Nam,2022,370.9,358.8,12.1,1.7,103.4
Viet Nam,2023,353.1,325.4,27.6,4.1,108.5
