side,rank_on_side,cmd_code,cmd_desc,exports_bn,imports_bn,balance_bn
deficit,1,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",89.33,220.59,-131.26
deficit,2,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",32.32,76.06,-43.75
deficit,3,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",33.43,72.66,-39.22
deficit,4,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",29.31,57.06,-27.75
deficit,5,39,Plastics and articles thereof,7.12,22.59,-15.47
deficit,6,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",1.91,16.55,-14.64
deficit,7,31,Fertilizers,0.12,10.42,-10.30
deficit,8,88,"Aircraft, spacecraft, and parts thereof",1.94,10.07,-8.13
deficit,9,29,Organic chemicals,19.48,27.26,-7.78
deficit,10,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",5.05,12.62,-7.57
surplus,1,30,Pharmaceutical products,21.30,2.60,18.70
surplus,2,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",20.82,7.68,13.14
surplus,3,10,Cereals,11.28,0.14,11.14
surplus,4,62,Apparel and clothing accessories; not knitted or crocheted,7.83,0.89,6.94
surplus,5,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",6.31,0.16,6.15
surplus,6,61,Apparel and clothing accessories; knitted or crocheted,6.66,0.67,5.99
surplus,7,52,Cotton,6.49,0.81,5.68
surplus,8,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",5.39,0.65,4.74
surplus,9,73,Iron or steel articles,9.74,5.03,4.72
surplus,10,02,Meat and edible meat offal,3.65,0.01,3.64
