rank_2023,cmd_code,cmd_desc,imports_2023_bn,share_2014_pct,share_2023_pct,shift_ppt
1,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",220.59,38.5,32.8,-5.7
2,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",76.06,6.9,11.3,4.4
3,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",72.66,13.0,10.8,-2.2
4,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",57.06,6.8,8.5,1.7
5,29,Organic chemicals,27.26,4.0,4.1,0.1
6,39,Plastics and articles thereof,22.59,2.6,3.4,0.8
7,72,Iron and steel,18.92,2.5,2.8,0.4
8,15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",16.55,2.3,2.5,0.1
9,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",12.62,1.5,1.9,0.3
10,31,Fertilizers,10.42,1.2,1.6,0.3
