partner_desc,exports_2023_bn,imports_2023_bn,balance_2014_bn,balance_2023_bn,balance_change_bn
China,16.25,121.97,-44.80,-105.72,-60.93
Saudi Arabia,10.83,34.64,-19.64,-23.81,-4.17
Indonesia,7.40,24.03,-10.74,-16.64,-5.90
Japan,5.08,18.75,-4.21,-13.67,-9.46
Germany,9.67,18.12,-4.96,-8.45,-3.49
Malaysia,6.68,12.56,-6.29,-5.88,0.41
United Arab Emirates,33.02,37.54,5.63,-4.52,-10.15
Viet Nam,5.65,9.64,3.74,-3.99,-7.74
South Africa,8.02,11.36,-0.27,-3.34,-3.07
Maldives,0.59,0.07,0.14,0.51,0.38
France,7.19,6.60,1.71,0.59,-1.12
Italy,8.40,6.83,1.11,1.56,0.45
Sri Lanka,3.58,0.89,5.84,2.68,-3.16
Belgium,7.97,3.69,-5.40,4.29,9.68
Singapore,12.04,6.93,2.61,5.10,2.49
United Kingdom,12.48,6.75,4.87,5.73,0.86
Nepal,7.25,0.81,3.63,6.44,2.80
Bangladesh,11.25,1.89,5.74,9.36,3.62
Netherlands,23.11,2.41,3.98,20.69,16.71
USA,75.81,42.12,22.25,33.69,11.44
