typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,sector
C,A,20140101,2014,52,2014,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,511300,"Fabrics, woven; of coarse animal hair or of horsehair",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,101524.0,101524.0,0,True,False,textiles
C,A,20140101,2014,52,2014,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,521215,"Fabrics, woven; of cotton, printed, weighing not more than 200g/m2, n.e.c. in chapter 52",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,87409286.0,87409286.0,0,True,False,textiles
C,A,20140101,2014,52,2014,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,531090,"Fabrics, woven; of jute or of other textile bast fibres of heading no. 5303, other than unbleached",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,2528109.0,2528109.0,0,True,False,textiles
C,A,20140101,2014,52,2014,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,540774,"Fabrics, woven; containing 85% or more by weight of synthetic filaments (excluding nylon or other polyamides and polyesters), printed",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,52027360.0,52027360.0,0,True,False,textiles
C,A,20140101,2014,52,2014,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,551632,"Fabrics, woven; dyed, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with wool or fine animal hair",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,8304.0,8304.0,0,True,False,textiles
C,A,20140101,2014,52,2014,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,551694,"Fabrics, woven; printed, of artificial staple fibres, n.e.c. in heading no. 5516",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,26967.0,26967.0,0,True,False,textiles
C,A,20140101,2014,52,2014,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,611699,"Gloves, mittens and mitts; of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted, (other than impregnated, coated or covered with plastics or rubber)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,3101623.0,3101623.0,0,True,False,textiles
C,A,20140101,2014,52,2014,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,580127,"Fabrics; woven pile, of cotton, warp pile fabrics, other than fabrics of heading no. 5802 or 5806",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,223238.0,223238.0,0,True,False,textiles
C,A,20140101,2014,52,2014,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,580137,"Fabrics; woven pile, of man-made fibres, warp pile fabrics, other than fabrics of heading no. 5802 or 5806",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,12361721.0,12361721.0,0,True,False,textiles
C,A,20140101,2014,52,2014,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,580190,"Fabrics; woven pile and chenille, of textile materials n.e.c. in heading no. 5801, other than fabrics of heading no. 5802 or 5806",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,3966852.0,3966852.0,0,True,False,textiles
C,A,20140101,2014,52,2014,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,621010,Garments; of felt or non-wovens (not knitted or crocheted),6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,1715683.0,1715683.0,0,True,False,textiles
C,A,20140101,2014,52,2014,699,IND,India,X,Export,0,W00,World,0,W00,World,H4,HS,True,621390,Handkerchiefs; of textile materials other than cotton (not knitted or crocheted),6,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,,1710939.0,1710939.0,0,True,False,textiles
