typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20140101,2014,52,2014,156,CHN,China,M,Import,0,W00,World,0,W00,World,H4,HS,True,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,105806106704.0,,105806106704.0,0,True,False
C,A,20140101,2014,52,2014,156,CHN,China,M,Import,0,W00,World,0,W00,World,H4,HS,True,74,Copper and articles thereof,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,47278407266.0,,47278407266.0,0,True,False
C,A,20140101,2014,52,2014,156,CHN,China,M,Import,0,W00,World,0,W00,World,H4,HS,True,39,Plastics and articles thereof,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,75190305228.0,,75190305228.0,0,True,False
C,A,20140101,2014,52,2014,156,CHN,China,M,Import,0,W00,World,0,W00,World,H4,HS,True,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,179377720776.0,,179377720776.0,0,True,False
C,A,20140101,2014,52,2014,156,CHN,China,M,Import,0,W00,World,0,W00,World,H4,HS,True,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,424319487541.0,,424319487541.0,0,True,False
C,A,20140101,2014,52,2014,156,CHN,China,M,Import,0,W00,World,0,W00,World,H4,HS,True,07,Vegetables and certain roots and tubers; edible,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,2579931331.0,,2579931331.0,0,True,False
C,A,20140101,2014,52,2014,156,CHN,China,M,Import,0,W00,World,0,W00,World,H4,HS,True,08,"Fruit and nuts, edible; peel of citrus fruit or melons",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,5144604284.0,,5144604284.0,0,True,False
C,A,20140101,2014,52,2014,156,CHN,China,M,Import,0,W00,World,0,W00,World,H4,HS,True,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,189271328.0,,189271328.0,0,True,False
C,A,20140101,2014,52,2014,156,CHN,China,M,Import,0,W00,World,0,W00,World,H4,HS,True,05,Animal originated products; not elsewhere specified or included,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,479410093.0,,479410093.0,0,True,False
C,A,20140101,2014,52,2014,156,CHN,China,M,Import,0,W00,World,0,W00,World,H4,HS,True,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,6490639236.0,,6490639236.0,0,True,False
C,A,20140101,2014,52,2014,156,CHN,China,M,Import,0,W00,World,0,W00,World,H4,HS,True,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,6583348223.0,,6583348223.0,0,True,False
C,A,20140101,2014,52,2014,156,CHN,China,M,Import,0,W00,World,0,W00,World,H4,HS,True,02,Meat and edible meat offal,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,5844331028.0,,5844331028.0,0,True,False
C,A,20140101,2014,52,2014,156,CHN,China,M,Import,0,W00,World,0,W00,World,H4,HS,True,09,"Coffee, tea, mate and spices",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,342296968.0,,342296968.0,0,True,False
C,A,20140101,2014,52,2014,156,CHN,China,M,Import,0,W00,World,0,W00,World,H4,HS,True,10,Cereals,2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,6174890309.0,,6174890309.0,0,True,False
C,A,20140101,2014,52,2014,156,CHN,China,M,Import,0,W00,World,0,W00,World,H4,HS,True,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",2,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,False,,False,,False,963921480.0,,963921480.0,0,True,False
